"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
4449,"Subspecies","Geometridae","Philereme transversata britannica","Philereme transversata","(Lempke, 1968)",17,18.5,20,16.6193520223587,2.81056780084287,0.117349697076565
4453,"Subspecies","Geometridae","Rheumaptera hastata hastata","Rheumaptera hastata","(Linnaeus, 1758)",16,17.5,19,14.4121843410236,2.66807398360502,0.108451577121269
4455,"Subspecies","Geometridae","Rheumaptera hastata nigrescens","Rheumaptera hastata","(Cockerell, 1889)",13,14,15,8.13261764051859,2.09588284474105,0.0900987351350548
4457,"Species","Geometridae","Hydria undulata","Hydria undulata","(Linnaeus, 1758)",16,17.5,19,14.4121843410236,2.66807398360502,0.108451577121269
4459,"Species","Geometridae","Hydria cervinalis","Hydria cervinalis","(Scopoli, 1763)",19,20.5,22,21.6238429768732,3.07379654742693,0.136520908698289
4463,"Species","Geometridae","Triphosa dubitata","Triphosa dubitata","(Linnaeus, 1758)",19,20.5,22,21.6238429768732,3.07379654742693,0.136520908698289
4466,"Species","Geometridae","Pareulype berberata","Pareulype berberata","([Denis & Schiffermüller], 1775)",13,14,15,8.13261764051859,2.09588284474105,0.0900987351350548
4470,"Species","Geometridae","Coenocalpe lapidata","Coenocalpe lapidata","(Hübner, [1809])",13,14.5,16,8.89834247357766,2.18586502046961,0.0906719775045944
4473,"Species","Geometridae","Horisme vitalbata","Horisme vitalbata","([Denis & Schiffermüller], 1775)",14,15.5,17,10.5579271781761,2.35687696906527,0.0943462521228732
4475,"Species","Geometridae","Horisme tersata","Horisme tersata","([Denis & Schiffermüller], 1775)",14,16,18,11.4534145350767,2.43828789821414,0.0971965125420924
4478,"Species","Geometridae","Melanthia procellata","Melanthia procellata","([Denis & Schiffermüller], 1775)",16,17,18,13.3797625026753,2.5937433043688,0.104345670318196
4481,"Species","Geometridae","Anticollix sparsata","Anticollix sparsata","(Treitschke, 1828)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4486,"Species","Geometridae","Odezia atrata","Odezia atrata","(Linnaeus, 1758)",12,13.5,15,7.40849919663386,2.00262788122821,0.0905276365771083
4490,"Subspecies","Geometridae","Carsia sororiata sororiata","Carsia sororiata","(Hübner, [1813])",11,13,15,6.72514201165984,1.90585304224038,0.0920576054874639
4493,"Subspecies","Geometridae","Carsia sororiata anglica","Carsia sororiata","Prout, 1937",11,13,15,6.72514201165984,1.90585304224038,0.0920576054874639
4496,"Subspecies","Geometridae","Aplocera plagiata plagiata","Aplocera plagiata","(Linnaeus, 1758)",19,20.5,22,21.6238429768732,3.07379654742693,0.136520908698289
4498,"Subspecies","Geometridae","Aplocera plagiata scotica","Aplocera plagiata","(Richardson, 1952)",19,20.5,22,21.6238429768732,3.07379654742693,0.136520908698289
4499,"Species","Geometridae","Aplocera efformata","Aplocera efformata","(Guenée, [1858])",16,17.5,19,14.4121843410236,2.66807398360502,0.108451577121269
4501,"Species","Geometridae","Aplocera praeformata","Aplocera praeformata","(Hübner, [1826])",20,22.5,25,27.4537205734427,3.31250169878695,0.156037662053464
4504,"Species","Geometridae","Chesias legatella","Chesias legatella","([Denis & Schiffermüller], 1775)",17,18,19,15.4917954801563,2.74031055992298,0.112806900499174
4507,"Subspecies","Geometridae","Chesias rufata rufata","Chesias rufata","(Fabricius, 1775)",14,15,16,9.70650576760444,2.27279635838334,0.0921298103128476
