Source,Env.,Sex,Stage,Species,Family,Order,Voltinism,Latitude,Longitude,Location,Altitude (m.a.s.l),Body Size,Original Units,Dry Mass (mg),LN Dry Mass,Notes
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.48,0.91,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.20,Intertegular distance (mm),2.98,1.09,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.23,Intertegular distance (mm),3.15,1.15,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.08,Intertegular distance (mm),2.30,0.83,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.05,Intertegular distance (mm),2.16,0.77,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.32,Intertegular distance (mm),3.78,1.33,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.15,Intertegular distance (mm),2.69,0.99,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.24,Intertegular distance (mm),3.26,1.18,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.04,Intertegular distance (mm),2.12,0.75,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.56,0.94,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.09,Intertegular distance (mm),2.37,0.86,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.06,Intertegular distance (mm),2.19,0.78,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.89,Intertegular distance (mm),1.41,0.35,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.46,0.90,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.30,Intertegular distance (mm),3.62,1.29,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.88,1.06,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.09,Intertegular distance (mm),2.34,0.85,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.27,Intertegular distance (mm),3.41,1.23,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.94,Intertegular distance (mm),1.65,0.50,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.28,Intertegular distance (mm),3.53,1.26,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.91,Intertegular distance (mm),1.51,0.41,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.27,Intertegular distance (mm),3.41,1.23,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.30,Intertegular distance (mm),3.63,1.29,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.06,Intertegular distance (mm),2.18,0.78,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.10,Intertegular distance (mm),2.41,0.88,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.23,Intertegular distance (mm),3.20,1.16,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.44,0.89,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.14,Intertegular distance (mm),2.65,0.97,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.22,Intertegular distance (mm),3.10,1.13,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.85,1.05,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.25,Intertegular distance (mm),3.30,1.19,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.17,Intertegular distance (mm),2.79,1.02,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.93,Intertegular distance (mm),1.61,0.48,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.30,Intertegular distance (mm),3.62,1.29,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.03,Intertegular distance (mm),2.03,0.71,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.19,Intertegular distance (mm),2.93,1.07,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.25,Intertegular distance (mm),3.32,1.20,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.05,Intertegular distance (mm),2.15,0.76,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.21,Intertegular distance (mm),3.02,1.11,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.20,Intertegular distance (mm),2.99,1.10,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.14,Intertegular distance (mm),2.65,0.97,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.89,1.06,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.58,0.95,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.25,Intertegular distance (mm),3.30,1.19,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.00,Intertegular distance (mm),1.88,0.63,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.85,1.05,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.49,0.91,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.07,Intertegular distance (mm),2.26,0.82,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.15,Intertegular distance (mm),2.69,0.99,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.10,Intertegular distance (mm),2.40,0.87,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.59,0.95,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.57,0.94,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.22,Intertegular distance (mm),3.08,1.13,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.21,Intertegular distance (mm),3.04,1.11,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.04,Intertegular distance (mm),2.10,0.74,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.37,Intertegular distance (mm),4.12,1.42,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.41,Intertegular distance (mm),4.47,1.50,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.27,Intertegular distance (mm),3.45,1.24,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.57,0.94,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.99,Intertegular distance (mm),1.87,0.63,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.25,Intertegular distance (mm),3.30,1.19,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.09,Intertegular distance (mm),2.37,0.86,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.17,Intertegular distance (mm),2.79,1.02,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.01,Intertegular distance (mm),1.94,0.66,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.06,Intertegular distance (mm),2.22,0.80,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.99,Intertegular distance (mm),1.85,0.61,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.85,1.05,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.26,Intertegular distance (mm),3.36,1.21,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.13,Intertegular distance (mm),2.56,0.94,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.01,Intertegular distance (mm),1.94,0.66,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.07,Intertegular distance (mm),2.26,0.82,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.01,Intertegular distance (mm),1.93,0.66,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.16,Intertegular distance (mm),2.73,1.00,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.24,Intertegular distance (mm),3.22,1.17,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.05,Intertegular distance (mm),2.13,0.75,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.44,0.89,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.19,Intertegular distance (mm),2.92,1.07,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.32,Intertegular distance (mm),3.79,1.33,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.86,1.05,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.05,Intertegular distance (mm),2.16,0.77,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.21,Intertegular distance (mm),3.04,1.11,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.24,Intertegular distance (mm),3.26,1.18,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.19,Intertegular distance (mm),2.91,1.07,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.29,Intertegular distance (mm),3.60,1.28,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.03,Intertegular distance (mm),2.07,0.73,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.24,Intertegular distance (mm),3.25,1.18,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.10,Intertegular distance (mm),2.43,0.89,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.09,Intertegular distance (mm),2.37,0.86,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.34,Intertegular distance (mm),3.93,1.37,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.44,0.89,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.08,Intertegular distance (mm),2.30,0.83,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.19,Intertegular distance (mm),2.90,1.06,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.06,Intertegular distance (mm),2.19,0.78,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.32,Intertegular distance (mm),3.79,1.33,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.28,Intertegular distance (mm),3.52,1.26,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.11,Intertegular distance (mm),2.46,0.90,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.18,Intertegular distance (mm),2.85,1.05,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.26,Intertegular distance (mm),3.39,1.22,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.24,Intertegular distance (mm),3.26,1.18,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.25,Intertegular distance (mm),3.32,1.20,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.03,Intertegular distance (mm),2.06,0.72,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.92,Intertegular distance (mm),1.54,0.43,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.27,Intertegular distance (mm),3.43,1.23,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.20,Intertegular distance (mm),3.00,1.10,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.08,Intertegular distance (mm),2.31,0.84,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,0.99,Intertegular distance (mm),1.84,0.61,
Classen et al. 2017 (Func. Ecol. 31: 768–777),Terrestrial,F,Adult,Lasioglossum sp.2,Halictidae,Hymenoptera,>1,-2.85,37.22,"Mount Kilimanjaro, Tanzania, East Africa",4190,1.30,Intertegular distance (mm),3.67,1.30,
