"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"635","67-.013-.001-.","Sinoxylon_muricatum","Bostrichidae",1,NA,1,1,NA,NA,0,"","",4,111.54,7.033,4.556,2.005,2.259,1.127,1.004,1.213,1.602,1.936,2.54,0.938,5.243,2.014,8.351,2.603,0.842,0.882,0.327,0.221,0.676,0.321,0.059,0.971,0.246,0.628,1.087,0.24,0.705,1.125,0.257,0.724,28.053,13.43,19.19,NA,20.224,0.094,0.208,0.073,0.757,0.127,-0.413,0.104
"636","67-.014-.001-.","Xylopertha_retusa","Bostrichidae",1,NA,1,1,"*","s",0,"","",4,114.09,2.333,3.781,1.265,1.419,1.122,0.467,0.824,1.064,1.177,2.366,0.567,4.768,1.764,6.954,2.703,0.335,0.787,0.362,0.202,0.558,0.235,0.035,0.556,0.104,0.354,0.714,0.214,0.498,0.739,0.219,0.505,33.981,23.81,33.51,NA,30.433,-0.2,-0.386,0.137,0.019,-0.261,-0.359,-0.052
"637","68-.001-.001-.","Hedobia_pubescens","Ptinidae",1,NA,1,1,"1","es",0,"","",6,120.47,13.032,6.169,2.705,2.408,0.89,1.069,1.403,1.737,1.754,4.841,1.297,NA,NA,NA,NA,NA,3.245,0.427,0.165,0.386,0.422,0.133,1.075,0.301,1.271,1.476,0.307,1.194,1.431,0.341,1.223,18.349,11.481,22.644,34.174,21.662,0.121,-0.007,NA,NA,-0.048,0.616,0.124
"638","68-.0011-.001-.","Ptinomorphus_imperialis","Ptinidae",1,NA,1,1,"*","h",0,"","",NA,120.75,10.414,5.012,2.068,1.632,0.789,0.978,1.015,1.164,1.148,3.417,1.059,6.532,2.587,13.767,2.525,0.756,2.499,0.33,0.145,0.439,0.335,0.075,1.076,0.272,1.077,1.299,0.245,0.981,1.174,0.254,1.116,63.712,55.921,47.214,40,51.712,0.039,0.094,0.211,0.556,0.142,0.542,0.067
"639","68-.002-.001-.","Grynobius_planus","Ptinidae",1,NA,1,1,"*","s",0,"","",5,111.01,5.23,4.832,2.029,1.673,0.825,0.57,1.109,1.242,1.427,3.897,1,6.172,2.445,12.147,2.524,0.431,1.415,0.363,0.29,0.799,0.325,0.083,0.739,0.209,1.056,0.904,0.227,1.075,0.829,0.265,1.062,40.541,42.493,32.967,21.552,34.388,0.053,-0.412,0.186,0.028,-0.2,0.006,0.067
"640","68-.003-.001-.","Dryophilus_anobioides","Ptinidae",1,"female",1,1,"*","s",1,"male: much larger eyes than in female","male: antennae ca. 1/5 longer than in female",2,115.69,0.6,2.139,0.943,0.794,0.842,0.326,0.532,0.584,0.696,1.597,0.498,2.744,1.012,2.213,2.711,0.271,1.258,0.145,0.055,0.379,0.197,0.031,0.441,0.101,0.407,0.425,0.108,NA,0.428,0.092,0.435,48.485,52.326,91.684,94.488,71.746,0.017,-0.222,0.072,0.365,0.026,0.623,0.248
"641","68-.003-.003-.","Dryophilus_pusillus","Ptinidae",3,"both",1,1,"*","h",1,"male: much larger eyes than in female","male: antennae ca. 1/5 longer than in female",2.1,119.61,0.657,2.359,0.968,0.84,0.868,0.424,0.531,0.567,0.695,1.61,0.475,3.589,1.373,4.088,2.614,0.161,1.137,0.156,0.053,0.339,0.198,0.027,0.582,0.139,0.536,0.605,0.136,0.549,0.56,0.15,0.577,41.597,70.142,74.154,63.846,62.435,-0.045,-0.049,0.256,-0.253,0.214,0.434,0.171
"642","68-.005-.002-.","Xestobium_rufovillosum","Ptinidae",1,NA,1,1,"V","mh",0,"","",7,97.13,24.295,7.51,2.783,2.323,0.835,0.631,1.609,1.96,2.873,5.174,1.26,8.023,3.219,20.449,2.492,1.188,2.094,0.579,0.193,0.333,0.452,0.113,1.236,0.388,0.937,1.368,0.39,1.219,1.222,0.427,1.2,19.643,27.14,8.73,25.818,20.333,-0.027,-0.715,0.071,0.61,-0.087,0.001,0.028
"643","68-.005-.003-.","Xestobium_austriacum","Ptinidae",1,NA,1,1,"R","es",0,"","",7,111.76,20.853,8.042,3.659,3.055,0.835,1.196,1.704,1.914,2.9,5.634,1.759,8.95,3.249,23.812,2.755,0.876,2.376,0.313,0.093,0.297,0.554,0.179,0.95,0.413,1.143,1.031,0.446,1.2,1.264,0.49,1.331,41.08,37.931,42.638,NA,40.55,0.185,-0.139,0.122,0.238,-0.413,0.066,0.175
"644","68-.0051.001-.","Hyperisus_plumbeum","Ptinidae",1,NA,1,1,"*","h",0,"","",4.35,116.39,6.177,4.583,1.942,1.604,0.826,0.749,1.062,0.947,1.766,3.38,1.02,5.82,2.122,9.699,2.743,0.637,1.3,0.329,0.077,0.234,0.342,0.061,0.821,0.251,0.798,0.812,0.259,0.898,0.715,0.283,1.002,54.945,38.994,55.882,23.59,43.353,0.056,-0.09,0.172,0.471,-0.047,-0.031,0.162
"645","68-.007-.001-.","Ernobius_nigrinus","Ptinidae",1,NA,1,1,"*","mh",0,"","male: antennae ca. 1/5 longer than in female",3,134.72,4.682,5.357,1.847,1.658,0.898,1.04,1.019,0.956,1.447,3.047,0.753,4.913,2.162,8.504,2.272,0.551,1.761,0.167,0.167,1,0.311,0.08,0.609,0.199,0.795,0.652,0.246,0.888,0.971,0.235,0.704,47.859,59.722,48.035,27.523,45.785,-0.134,0.095,-0.131,0.173,-0.487,0.132,-0.063
"646","68-.007-.002-.","Ernobius_longicornis","Ptinidae",1,NA,1,1,"*","s",0,"","male: antennae ca. 1/5 longer than in female",3,100.25,3.518,4.189,2.107,1.507,0.715,0.754,1.192,1.067,1.577,3.375,0.838,5.453,1.989,9.577,2.742,0.367,2.547,0.373,0.104,0.279,0.43,0.135,0.903,0.27,0.866,0.933,0.288,1.006,0.816,0.261,1.019,42.105,64.516,52.459,63.885,55.741,0.219,-0.001,0.184,0.009,0.13,0.723,0.466
"647","68-.007-.003-.","Ernobius_abietinus","Ptinidae",1,NA,1,1,"*","mh",0,"","male: antennae ca. 1/5 longer than in female",2.5,134.45,0.425,2.459,1.123,0.748,0.666,0.424,0.633,0.536,0.788,1.968,0.537,3.317,1.227,3.434,2.703,0.124,1.438,0.197,0.044,0.223,0.217,0.035,0.436,0.122,0.491,0.466,0.172,0.546,0.445,0.119,0.526,113.36,89.059,60.606,61.224,81.062,0.067,-0.087,0.142,-0.556,-0.113,0.632,0.228
"648","68-.007-.005-.","Ernobius_abietis","Ptinidae",1,NA,1,1,"*","h",0,"","male: antennae ca. 1/5 longer than in female",3.05,118.72,3.134,3.472,1.426,1.026,0.719,0.741,0.864,0.571,1.227,2.482,0.743,4.596,1.592,5.754,2.887,0.545,1.132,0.256,0.126,0.492,0.276,0.04,0.512,0.171,0.611,0.537,0.157,0.707,0.569,0.17,0.688,31.008,35.149,63.257,5.148,33.641,-0.003,0.154,0.174,0.588,-0.266,0.081,0.18
"649","68-.007-.008-.","Ernobius_pini","Ptinidae",1,NA,1,1,"*","s",0,"","male: antennae ca. 1/5 longer than in female",2,135.31,1.17,2.934,1.374,1.287,0.937,0.74,0.908,0.696,1.203,2.307,0.572,3.782,1.45,4.661,2.608,0.251,1.709,0.28,0.063,0.225,0.306,0.075,0.596,0.162,NA,0.562,0.194,0.655,0.507,0.182,NA,67.227,46.589,51.051,40.856,51.431,0.11,0.307,0.123,-0.022,0.039,0.645,0.424
"650","68-.007-.009-.","Ernobius_kiesenwetteri","Ptinidae",1,NA,1,1,"R","es",0,"","male: antennae ca. 1/5 longer than in female",3,NA,NA,4.269,1.955,1.604,0.82,0.843,0.95,0.857,1.386,3.066,0.855,4.179,1.906,5.571,2.193,NA,1.931,0.292,0.126,0.432,0.365,0.085,0.572,0.181,0.658,0.602,0.193,0.782,0.819,0.225,0.805,40,51.948,61.988,NA,51.312,0.127,0.093,-0.098,NA,-0.343,0.429,0.287
"651","68-.007-.010-.","Ernobius_explanatus","Ptinidae",1,NA,1,0,NA,NA,0,"","male: antennae ca. 1/5 longer than in female",NA,103.47,4.792,8.384,2.934,2.272,0.774,1.16,1.718,1.687,2.473,6.012,1.47,10.654,3.724,33.343,2.861,0.144,3.024,0.712,0.3,0.421,0.519,0.192,1.159,0.37,1.401,1.264,0.402,1.615,1.318,0.344,1.618,23.006,25.061,23.24,15.337,21.661,-0.073,-0.207,0.261,-1.61,-0.252,0.269,0.075
"652","68-.007-.012-.","Ernobius_mollis","Ptinidae",1,NA,1,1,"*","h",0,"","male: antennae ca. 1/5 longer than in female",4.5,129.62,1.531,3.551,1.529,1.205,0.788,0.686,0.999,0.834,1.224,2.638,0.587,4.805,1.712,6.783,2.807,0.226,1.25,0.273,0.197,0.722,0.382,0.11,0.695,0.237,0.752,0.81,0.221,0.859,0.726,0.2,NA,38.576,77.176,51.587,58.209,56.387,0.046,0.056,0.199,-0.315,0.019,0.16,0.486
"653","68-.008-.002-.","Oligomerus_brunneus","Ptinidae",1,NA,1,1,"3","s",0,"","",5,120.4,10.65,6.743,2.59,2.389,0.922,1.484,1.619,2.171,2.203,4.973,1.357,7.872,3.021,20.192,2.606,0.527,1.819,0.616,0.216,0.351,0.463,0.128,1.199,0.341,1.144,1.214,0.31,1.19,1.21,0.333,1.202,28.607,47.877,68.8,69.42,53.676,-0.002,0.239,0.144,-0.096,-0.02,-0.043,0.143
"654","68-.010-.001-.","Gastrallus_immarginatus","Ptinidae",1,NA,1,1,"V","s",0,"","",2,123.37,NA,2.236,0.909,0.807,0.888,0.241,0.545,0.592,0.676,1.672,0.427,NA,NA,NA,NA,NA,0.654,0.158,0.082,0.519,0.258,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.706,72.508,124.122,NA,87.112,-0.059,-0.565,NA,NA,NA,-0.071,0.48
"655","68-.010-.002-.","Gastrallus_laevigatus","Ptinidae",1,NA,1,1,"*","s",0,"","",2,131.61,NA,2.714,0.933,1.066,1.143,0.329,0.683,0.842,0.933,2.011,0.528,NA,NA,NA,NA,NA,0.909,0.187,0.09,0.481,0.289,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.091,67.391,100.379,NA,75.287,-0.207,-0.432,NA,NA,NA,0.084,0.432
"656","68-.010-.004-.","Gastrallus_knizeki","Ptinidae",1,NA,1,1,"*","ss",0,"","",3,NA,NA,2.843,1.005,0.96,0.955,0.477,0.773,0.865,0.953,2.178,0.704,NA,NA,NA,NA,NA,1.151,NA,NA,NA,0.34,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.875,96.033,95.17,NA,87.693,-0.174,-0.103,NA,NA,NA,0.278,0.556
"657","68-.012-.001-.","Anobium_punctatum","Ptinidae",1,NA,1,1,"*","sh",0,"","",3.75,121.01,1.031,2.835,1.182,1.022,0.865,0.403,0.673,0.817,0.86,2.153,0.533,3.687,1.482,4.353,2.488,0.237,1.237,0.241,0.175,0.726,0.264,0.055,0.65,0.135,0.629,0.648,0.145,0.622,0.598,0.149,0.584,62.5,98.131,124.15,99.048,95.957,-0.009,-0.269,0.126,-0.046,0.157,0.353,0.305
"658","68-.0121.001-.","Cacotemnus_rufipes","Ptinidae",1,NA,1,1,"3","s",0,"","",5,113.24,1.604,3.51,1.35,1.194,0.884,0.64,0.775,0.943,1.05,2.705,0.673,4.091,1.669,5.167,2.451,0.31,1.256,0.273,0.174,0.637,0.274,0.053,0.563,0.154,0.6,0.663,0.18,0.612,0.722,0.147,0.629,72.254,57.884,56.277,87.108,68.381,-0.068,-0.003,0.048,0.015,-0.181,0.175,0.164
"659","68-.0121.002-.","Cacotemnus_thomsoni","Ptinidae",2,NA,1,1,"R","es",0,"","",5.25,81.29,3.129,4.772,1.723,1.422,0.822,0.701,1.022,1.151,1.256,3.588,0.818,6.528,2.632,14.124,2.504,0.264,2.025,0.323,0.205,0.636,0.407,0.109,0.98,0.237,1.007,1.018,0.229,1.012,0.955,0.249,0.904,40.163,57.869,45.154,28.539,42.931,-0.1,-0.194,0.253,-0.449,0.093,0.376,0.303
"660","68-.0122.001-.","Hemicoelus_canaliculatus","Ptinidae",1,NA,1,1,"*","mh",0,"","",3.75,120.42,3.076,4.021,1.528,1.208,0.791,0.694,0.825,1.021,1.061,2.788,0.697,4.535,1.732,6.248,2.618,0.492,1.686,0.201,0.162,0.806,0.304,0.069,0.755,0.178,0.683,0.725,0.182,0.692,0.722,0.174,0.646,117.486,61.024,65.963,42.373,71.711,-0.066,-0.046,0.035,0.342,-0.011,0.347,0.154
"661","68-.0122.002-.","Hemicoelus_costatus","Ptinidae",1,NA,1,1,"*","h",0,"","",4,123.92,3.562,4.691,1.404,1.257,0.895,0.837,0.86,0.785,1.041,3.018,0.795,5.031,1.969,7.744,2.555,0.46,1.422,0.272,0.134,0.493,0.317,0.061,0.684,0.152,0.705,0.718,0.173,0.709,0.756,0.163,0.66,46.512,74.751,90.566,36.982,62.203,-0.289,-0.001,0.007,0.123,-0.25,0.038,0.067
"662","68-.0122.003-.","Hemicoelus_fulvicornis","Ptinidae",1,NA,1,1,"*","h",0,"","",3,124.25,1.429,3.451,1.503,1.289,0.858,0.31,0.825,1.013,1,2.306,0.741,3.767,1.425,4.349,2.644,0.329,1.387,0.294,0.14,0.476,0.316,0.071,0.781,0.169,0.69,0.948,0.18,0.537,1.089,0.188,0.59,58.252,110,117.409,NA,95.22,0.055,-0.712,-0.02,0.088,0.162,0.29,0.32
"663","68-.0123.001-.","Microbregma_emarginatum","Ptinidae",1,NA,1,1,"*","mh",0,"","",4,127.47,2.924,3.657,1.402,1.197,0.854,0.719,0.812,0.903,1.144,2.806,0.702,4.285,1.745,6.294,2.456,0.465,1.168,0.261,0.085,0.326,0.283,0.045,0.578,0.189,0.606,0.641,0.171,0.63,0.722,0.157,0.638,43.956,69.204,108.262,31.293,63.179,-0.067,0.076,0.059,0.378,-0.192,0.066,0.162
"664","68-.0124.001-.","Hadrobregmus_denticollis","Ptinidae",1,NA,1,1,"V","mh",0,"","",5,107.59,6.83,5.859,2.288,2.196,0.96,0.703,1.371,1.846,2.022,3.648,1.085,6.66,2.641,14.085,2.522,0.485,1.701,0.457,0.229,0.501,0.396,0.1,1.318,0.271,0.77,1.453,0.267,0.794,1.659,0.295,0.89,32.117,44.51,82.949,NA,53.192,0,-0.379,0.097,-0.042,0.203,0.017,0.104
"665","68-.0124.002-.","Hadrobregmus_pertinax","Ptinidae",2,NA,1,1,"*","mh",0,"","",5.25,111.44,8.374,5.053,2.117,1.893,0.892,1.195,1.19,1.267,1.7,4.022,1.038,8.139,3.057,20.994,2.643,0.504,1.476,0.359,0.136,0.345,0.283,0.046,1.175,0.304,1.176,1.304,0.284,1.205,1.219,0.329,1.222,36.66,45.347,40.015,55.133,44.289,0.055,0.287,0.424,0.141,0.223,0.008,-0.109
"666","68-.0124.003-.","Hadrobregmus_confusus","Ptinidae",1,NA,1,0,NA,NA,0,"","",NA,NA,3.94,7.643,3.071,2.647,0.862,0.672,1.673,2.116,2.341,5.956,1.629,9.632,3.817,29.587,2.523,0.133,2.622,0.223,0.373,1.673,0.478,0.196,1.218,0.338,1.241,1.31,0.361,1.309,1.504,0.359,1.369,19.231,34.983,40.417,24.322,29.738,0.056,-0.668,0.239,-1.595,-0.118,0.21,0.07
"667","68-.013-.001-.","Priobium_carpini","Ptinidae",1,NA,1,1,"3","s",0,"","",4,NA,2.362,3.603,1.456,1.345,0.924,0.584,0.87,0.879,1.013,2.729,0.726,4.434,1.604,5.68,2.764,0.416,1.256,0.259,0.181,0.699,0.297,0.066,0.901,0.204,0.725,0.885,0.167,0.779,0.832,0.144,0.742,51.36,39.448,42.524,49.505,45.709,-0.016,-0.118,0.106,0.281,0.265,0.152,0.222
"668","68-.014-.001-.","Ptilinus_pectinicornis","Ptinidae",1,"female",1,1,"*","h",1,"male: antennae pectinate, female: deeple serrate","",4.5,128.91,1.629,4.202,1.316,1.03,0.783,0.5,0.967,0.984,1.098,2.675,0.703,4.355,1.59,5.353,2.739,0.304,1.965,0.225,0.035,0.156,0.337,0.076,0.608,0.222,0.722,0.564,0.182,0.686,0.564,0.188,0.584,50.505,29.361,86.771,70.922,59.39,-0.255,-0.415,-0.044,-0.182,-0.268,0.461,0.22
"669","68-.014-.002-.","Ptilinus_fuscus","Ptinidae",1,"male",1,1,"*","mh",1,"male: antennae pectinate, female: deeple serrate","",4,120.93,1.443,3.108,1.251,1.022,0.817,0.746,0.87,0.852,1.082,2.268,0.549,3.364,1.315,3.6,2.558,0.401,1.531,0.227,0.111,0.489,0.272,0.065,0.536,0.181,0.589,0.639,0.185,0.604,0.507,0.167,0.55,55.394,60.886,69.243,71.057,64.145,-0.035,0.262,-0.044,0.39,-0.119,0.483,0.258
"670","68-.015-.001-.","Pseudoptilinus_fissicollis","Ptinidae",1,NA,1,1,NA,NA,0,"","",6,122.01,NA,5.429,1.943,1.344,0.692,0.812,1.182,1.045,1.557,3.916,0.979,NA,NA,NA,NA,NA,1.963,0.376,0.156,0.415,0.472,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.488,47.558,77.63,NA,51.892,-0.095,-0.165,NA,NA,NA,0.229,0.343
"671","68-.016-.005-.","Xyletinus_ater","Ptinidae",1,NA,1,1,"3","s",0,"","",3.3,118.21,NA,3.052,1.545,1.227,0.794,0.694,1.035,0.935,1.469,2.36,0.729,NA,NA,NA,NA,NA,1.3,0.191,0.112,0.586,0.284,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.736,56.283,76.818,NA,65.612,0.192,0.207,NA,NA,NA,0.336,0.316
"672","68-.016-.006-.","Xyletinus_pectinatus","Ptinidae",1,NA,1,1,"3","s",0,"","",4.25,98.03,2.532,3.425,1.812,1.375,0.759,0.843,1.146,1.033,1.734,2.663,0.9,4.135,1.616,5.3,2.559,0.478,1.403,0.371,0.147,0.396,0.291,0.053,0.616,0.189,0.686,0.684,0.222,0.735,0.66,0.213,0.705,45.372,56.257,78.775,41.29,55.424,0.248,0.295,0.079,0.47,-0.069,0.308,0.244
"673","68-.016-.0073.","Xyletinus_vaederoeensis","Ptinidae",1,NA,1,1,"nb","nb",0,"","",2,NA,NA,2.985,1.315,1.016,0.773,0.309,0.903,0.715,1.277,2.243,0.737,NA,NA,NA,NA,NA,0.933,0.36,0.107,0.297,0.252,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.714,54.726,55.482,NA,48.641,0.051,-0.582,NA,NA,NA,0.024,0.215
"674","68-.016-.008-.","Xyletinus_longitarsis","Ptinidae",1,NA,1,1,"G","ss",0,"","",3,127.63,NA,4.728,2.001,1.307,0.653,0.939,1.217,1.807,1,3.13,0.997,NA,NA,NA,NA,NA,0.841,0.22,0.118,0.536,0.282,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.106,46.893,43.129,NA,43.043,0.058,0.107,NA,NA,NA,-0.494,-0.057
"675","68-.019-.001-.","Mesocoelopus_niger","Ptinidae",1,NA,1,1,"*","h",0,"","",3,128.92,1.089,2.428,1.401,1.199,0.856,0.57,0.86,0.953,1.304,1.827,0.66,3.555,1.392,4.102,2.554,0.265,NA,0.3,0.111,0.37,0.247,0.039,0.561,0.146,0.592,0.606,0.147,0.552,NA,NA,NA,120.192,56.748,80.67,26.263,70.968,0.3,0.22,0.222,0.22,0.151,NA,0.368
"676","68-.020-.001-.","Stagetus_pilula","Ptinidae",1,NA,1,1,"R","es",0,"","",2,98.26,1.432,2.813,1.397,1.243,0.89,0.69,0.694,0.785,1.182,1.911,0.694,3.739,1.401,4.349,2.669,0.329,0.977,0.273,0.147,0.538,0.273,0.048,NA,NA,NA,0.567,0.145,0.61,0.515,0.129,0.5,35.294,55.838,61.96,44.643,49.434,0.165,0.276,0.147,0.291,NA,0.124,0.345
"677","68-.022-.001-.","Dorcatoma_flavicornis","Ptinidae",1,NA,1,1,"3","s",0,"","",2,109.4,0.501,2.08,1.304,1.108,0.85,0.631,0.702,0.639,1.073,1.487,0.618,2.7,1.036,2.333,2.606,0.215,0.79,0.262,0.165,0.63,0.178,0.027,0.469,0.124,0.481,0.484,0.145,0.421,0.509,0.147,0.444,52.632,48.561,39.877,50.086,47.789,0.367,0.464,0.08,0.16,0.113,0.183,0.17
"678","68-.022-.002-.","Dorcatoma_setosella","Ptinidae",1,NA,1,1,"V","s",0,"","",2,100.36,0.914,2.439,1.417,1.222,0.862,0.428,0.706,0.636,1.142,1.723,0.688,3.37,1.474,3.935,2.286,0.232,0.718,0.264,0.074,0.28,0.233,0.039,0.533,0.129,0.521,0.514,0.144,0.471,0.475,0.121,0.484,57.269,71.048,42.553,56.106,56.744,0.307,-0.071,0.165,0.082,0.096,-0.056,0.306
"679","68-.022-.003-.","Dorcatoma_chrysomelina","Ptinidae",1,NA,1,1,"V","mh",0,"","",2,107.24,1.222,2.092,1.247,1.099,0.881,0.635,0.695,0.577,1.133,1.691,0.592,3.231,1.329,3.338,2.431,0.366,0.856,0.229,0.085,0.371,0.244,0.042,0.446,0.114,0.44,0.471,0.126,0.442,0.429,0.112,0.514,82.707,72.056,51.447,47.138,63.337,0.317,0.465,0.254,0.687,0.057,0.258,0.48
"680","68-.022-.004-.","Dorcatoma_substriata","Ptinidae",1,NA,1,1,"V","s",0,"","",2,123.33,1.66,3.186,1.732,1.454,0.839,0.602,0.78,1.308,0.751,2.106,0.764,3.812,1.368,4.406,2.787,0.377,1.135,0.286,0.117,0.409,0.277,0.065,0.622,0.145,0.63,0.591,0.154,0.577,0.568,0.164,0.562,44.944,53.599,22.565,34.2,38.827,0.268,0.025,0.06,0.303,0.007,0.161,0.255
"681","68-.022-.0042.","Dorcatoma_minor","Ptinidae",1,NA,1,1,"3","ss",0,"","",2,NA,1.053,2.188,1.206,1.217,1.009,0.355,0.675,0.385,0.958,1.565,0.573,3.611,1.347,3.76,2.681,0.28,1.064,0.252,0.106,0.421,0.246,0.047,0.48,0.154,0.441,0.688,0.165,0.456,0.622,0.179,0.423,41.543,68.894,45.375,NA,51.937,0.243,-0.158,0.327,0.376,0.09,0.436,0.451
"682","68-.022-.005-.","Dorcatoma_punctulata","Ptinidae",2,NA,1,1,"V","s",0,"","",2.75,127.27,2.53,2.963,1.762,1.305,0.741,0.852,0.87,0.828,1.471,2.288,0.894,5.613,2.362,11.531,2.377,0.219,1.222,0.261,0.086,0.33,0.296,0.065,0.828,0.218,0.875,0.79,0.212,0.813,0.767,0.217,0.81,52.632,28.866,29.093,28.681,34.818,0.35,0.439,0.509,-0.166,0.358,0.301,0.381
"683","68-.022-.006-.","Dorcatoma_dresdensis","Ptinidae",1,NA,1,1,"*","mh",0,"","",3.25,110.86,3.163,3.283,1.674,1.4,0.836,0.609,0.813,0.537,1.233,2.282,0.882,4.268,1.654,5.723,2.58,0.553,1.248,0.265,0.103,0.389,0.251,0.045,0.629,0.167,0.706,0.659,0.2,0.66,0.638,0.173,0.615,44.28,50.562,30.612,43.943,42.349,0.207,0.009,0.147,0.657,-0.009,0.229,0.132
"684","68-.022-.007-.","Dorcatoma_robusta","Ptinidae",1,NA,1,1,"3","s",0,"","",3.75,110.58,4.894,3.969,2.014,1.988,0.987,0.752,1.06,1.004,1.83,2.838,1.004,5.201,2.091,8.54,2.487,0.573,1.593,0.162,0.064,0.395,0.364,0.106,0.952,0.25,0.867,1.122,0.259,0.763,1.166,0.235,0.721,28.302,32.787,26.892,NA,29.327,0.222,0.046,0.183,0.507,0.232,0.302,0.345
"685","68-.024-.001-.","Anitys_rubens","Ptinidae",1,NA,1,1,"G","ss",0,"","",2,78.85,2.467,2.587,1.948,1.535,0.788,0.6,1.012,0.949,1.762,2.008,0.924,2.79,1.085,2.547,2.571,0.969,0.842,0.306,0.226,0.739,0.253,0.055,0.677,0.201,0.664,0.703,0.244,0.653,0.685,0.236,0.628,37.879,31.818,33.537,60.427,40.915,0.572,0.213,-0.074,1.452,0.281,0.051,0.339
"686","69-.008-.002-.","Ptinus_coarcticollis","Ptinidae",1,"female",1,1,"G","ss",1,"male: relatively much narrower than female, also with longer antennae and legs","",2,116.48,2.256,3.132,1.495,1.157,0.774,0.568,0.7,0.69,0.805,2.384,0.911,NA,NA,NA,NA,NA,2.393,0.415,0.238,0.573,0.236,0.043,0.772,0.219,0.795,0.864,0.178,0.857,0.954,0.195,1.012,86.667,42.056,30.423,37.846,49.248,0.136,-0.017,NA,NA,0.238,0.923,0.11
"687","69-.008-.004-.","Ptinus_rufipes","Ptinidae",1,"male",1,1,"*","h",1,"male: relatively much narrower than female, also with longer antennae and legs","",3,136.54,2.26,3.914,1.776,1.354,0.762,0.683,0.766,0.807,0.857,3.125,0.859,5.576,2.092,9.825,2.665,0.23,3.481,0.152,0.1,0.658,0.366,0.077,0.946,0.188,0.938,0.935,0.207,0.984,1.006,0.204,0.994,89.744,43.478,50.058,33.679,54.24,0.109,-0.038,0.264,-0.392,0.239,1.097,0.362
"688","69-.008-.007-.","Ptinus_bicinctus","Ptinidae",1,"female",1,1,"D","s",1,"male: relatively much narrower than female, also with longer antennae and legs","",2.9,113.46,0.8,2.56,1.248,0.953,0.764,0.63,0.646,0.571,0.719,1.897,0.556,3.242,1.085,2.681,2.988,0.298,NA,0.211,0.156,0.739,0.231,0.033,0.654,0.175,0.648,0.709,0.158,0.657,0.759,0.17,0.699,55.749,25.21,51.53,126.761,64.812,0.137,0.272,0.085,0.285,0.256,NA,0.257
"689","69-.008-.013-.","Ptinus_subpilosus","Ptinidae",1,"male",1,0,"*","mh",1,"male: relatively much narrower than female, also with longer antennae and legs","",2.4,134.91,1.851,3.018,1.348,1.116,0.828,0.545,0.735,0.671,0.735,2.334,0.665,7.823,3.1,18.912,2.524,0.098,3.459,0.294,0.149,0.507,0.319,0.072,1.387,0.278,1.303,1.465,0.316,1.325,1.525,0.268,1.575,56.738,19.337,20.802,38.721,33.899,0.066,-0.025,0.825,-0.991,0.858,1.325,0.442
"690","69-.008-.017-.","Ptinus_sexpunctatus","Ptinidae",1,"female",1,1,"*","mh",1,"male: relatively much narrower than female, also with longer antennae and legs","",3,135.99,1.884,3.426,1.605,1.417,0.883,0.678,0.8,0.933,0.919,2.626,0.735,NA,NA,NA,NA,NA,2.933,0.285,0.138,0.484,0.285,0.053,1.068,0.245,0.915,1.066,0.239,0.972,1.297,0.237,1.2,83.851,53.763,29.74,31.873,49.807,0.127,0.077,NA,NA,0.481,1.045,0.223
"691","70-.001-.001-.","Calopus_serraticornis","Oedemeridae",2,NA,1,1,"*","s",0,"","",19,133.92,139.865,18.916,4.33,4.1,0.947,2.618,2.525,2.038,2.632,15.557,2.477,25.961,8.982,193.714,2.89,0.722,11.793,1.059,0.286,0.27,1.482,1.183,3.762,0.96,4.156,4.005,0.93,5.153,4.65,0.892,6.24,15.267,16.996,14.989,22.598,17.462,-0.413,-0.141,0.456,-0.794,0.185,0.897,0.444
