"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"31","16-.007-.003-.","Anisotoma_castanea","Leiodidae",2,NA,1,1,"*","h",0,"","no of tarsal segments, male 5-5-4, female 4-4-4",3.5,96.68,4.615,4.263,2.214,1.338,0.604,0.759,0.925,0.814,1.876,2.513,1.143,5.129,1.94,7.655,2.644,0.603,1.058,0.28,0.099,0.352,0.267,0.06,0.751,0.246,0.622,0.777,0.298,0.691,0.877,0.285,0.799,21.459,13.216,15.075,16.542,16.573,0.252,-0.011,0.108,0.488,-0.07,-0.171,-0.025
"32","16-.007-.004-.","Anisotoma_glabra","Leiodidae",2,NA,1,1,"*","mh",0,"","no of tarsal segments, male 5-5-4, female 5-4-4",3.5,98.9,4.125,5.011,2.992,1.869,0.625,0.906,1.302,1.319,2.897,3.26,1.485,7.147,2.422,14.061,2.951,0.293,1.304,0.417,0.223,0.534,0.372,0.105,0.967,0.354,0.932,1.138,0.438,1.004,1.198,0.365,1.135,1.783,0.691,1.002,10.008,3.371,0.408,0.018,0.301,-0.391,0.036,-0.108,0.171
"33","16-.007-.005-.","Anisotoma_orbicularis","Leiodidae",1,NA,1,1,"*","h",0,"","no of tarsal segments, male 5-5-4, female 4-4-4",2.5,108.04,2.871,2.848,1.889,1.285,0.68,0.585,0.806,0.572,1.484,1.933,0.889,4.185,1.523,5.03,2.748,0.571,0.746,0.236,0.047,0.199,0.239,0.042,0.577,0.189,0.531,0.685,0.245,0.635,0.746,0.223,0.705,0,0,0,0,0,0.455,0.1,0.249,0.829,0.034,-0.157,0.202
"34","16-.008-.001-.","Liodopria_serricornis","Leiodidae",2,NA,1,1,"*","mh",0,"","no of tarsal segments, male 5-5-4, female 4-4-4",2.25,113.97,1.942,2.903,1.834,1.168,0.637,0.676,0.878,0.702,1.571,1.858,0.874,4.923,1.836,7.686,2.682,0.253,0.771,0.256,0.121,0.472,0.253,0.045,0.788,0.269,0.693,0.873,0.266,0.764,0.909,0.269,0.833,4.082,0,0,8.094,3.044,0.408,0.226,0.395,-0.005,0.328,-0.141,0.241
"35","16-.009-.002-.","Amphicyllis_globiformis","Leiodidae",1,NA,1,0,"*","s",0,"","no of tarsal segments, male 5-5-4, female 4-4-4",2.25,96.01,1.119,3.221,1.876,1.098,0.585,0.677,0.83,0.72,1.483,1.944,0.861,3.583,1.411,4.278,2.539,0.262,0.805,0.269,0.04,0.149,0.2,0.028,0.578,0.19,0.505,0.614,0.224,0.547,0.676,0.192,0.606,0,0,0,14.205,3.551,0.338,0.133,-0.011,-0.072,-0.077,-0.192,-0.079
"36","16-.011-.008-.","Agathidium_confusum","Leiodidae",1,"female",1,0,"*","mh",1,"male: left mandible long, strongly upwards curved","no of tarsal segments, male 5-5-5, female 5-4-4",2.35,98.74,1.415,2.597,1.516,1.136,0.749,0.553,0.902,0.87,1.374,1.609,0.781,6.085,2.263,11.051,2.689,0.128,0.725,0.336,0.142,0.423,0.233,0.034,0.851,0.213,0.736,0.864,0.275,0.748,0.87,0.282,0.683,0,0,0,NA,0,0.318,0.128,0.702,-0.575,0.506,-0.103,0.253
"37","16-.011-.011-.","Agathidium_discoideum","Leiodidae",1,"female",1,0,"R","es",1,"male: left mandible long, strongly upwards curved","no of tarsal segments, male 5-5-5, female 5-4-4",3,77.33,2.645,3.004,1.684,1.184,0.703,0.612,1,0.869,1.507,1.891,0.849,4.238,1.525,5.167,2.779,0.512,0.927,0.335,0.176,0.525,0.348,0.064,0.635,0.175,0.615,0.674,0.187,0.602,0.788,0.15,0.659,13.043,10.61,0,16.62,10.069,0.293,0.096,0.216,0.668,0.081,0.012,0.533
"38","16-.011-.012-.","Agathidium_arcticum","Leiodidae",1,"male",1,0,NA,NA,1,"male: left mandible long, strongly upwards curved","no of tarsal segments, male 5-5-5, female 5-4-4",NA,86.5,1.787,3.149,1.664,1.176,0.707,0.674,1.074,0.867,1.541,1.868,0.838,7.005,2.476,13.02,2.829,0.137,0.992,0.356,0.179,0.503,0.346,0.071,0.982,0.316,1.001,0.955,0.337,0.991,1.066,0.303,1.043,0,0,0,28.986,7.246,0.238,0.149,0.678,-0.695,0.474,0.037,0.488
"39","16-.011-.013-.","Agathidium_nigripenne","Leiodidae",2,NA,1,1,"*","h",0,"","no of tarsal segments, male 5-5-5, female 5-4-4",2.75,96.79,1.3,2.777,1.454,0.79,0.544,0.62,0.926,0.855,1.413,1.711,0.752,5.087,1.764,7.347,2.884,0.177,0.815,0.259,0.062,0.24,0.258,0.035,0.662,0.217,0.621,0.698,0.269,0.687,0.719,0.247,0.664,0,0,0,33.275,8.319,0.216,0.18,0.466,-0.318,0.193,-0.046,0.297
"40","18-.005-.005-.","Neuraphes_carinatus","Staphylinidae",1,NA,1,1,"*","h",0,"","",1.3,96.94,NA,NA,0.602,0.455,0.756,0.178,0.292,0.435,0.338,0.882,0.322,1.878,0.741,0.969,2.534,NA,0.652,0.061,0.015,0.246,0.08,0.004,0.352,0.08,0.338,0.452,0.111,0.391,0.424,0.103,0.403,36.697,29.586,31.056,35.088,33.107,NA,NA,NA,NA,NA,NA,NA
