"","group.1","group.2","group.3","group.4","Metastudy","original study","Species","J/h","weight [mg]","Temperature  [°C]"
"1892","1892 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.055376","48.750000","14.7"
"1893","1893 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.058290","39.510000","14.7"
"1894","1894 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.093264","37.550000","14.7"
"1895","1895 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.093264","31.170000","14.7"
"1896","1896 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.361399","43.770000","29.9"
"1897","1897 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.361399","71.720000","29.9"
"1898","1898 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.425518","66.240000","29.9"
"1899","1899 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.346827","56.620000","29.9"
"1900","1900 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.067034","45.280000","14.9"
"1901","1901 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.186529","38.140000","14.9"
"1902","1902 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.139896","37.880000","14.9"
"1903","1903 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.020402","37.280000","14.9"
"1904","1904 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.125324","45.310000","14.9"
"1905","1905 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.090350","44.630000","14.9"
"1906","1906 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.078692","53.500000","14.9"
"1907","1907 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.119495","72.950000","14.6"
"1908","1908 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.166127","69.210000","14.6"
"1909","1909 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.145725","78.540000","14.6"
"1910","1910 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.174871","89.410000","14.6"
"1911","1911 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.259391","66.850000","14.6"
"1912","1912 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.320596","108.040000","14.6"
"1913","1913 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.093264","28.020000","15.0"
"1914","1914 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.067034","31.780000","15.0"
"1915","1915 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.037889","21.460000","15.0"
"1916","1916 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.011658","1.679167","5.0"
"1917","1917 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.084521","25.470000","18.0"
"1918","1918 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.078692","21.430000","18.0"
"1919","1919 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.104922","20.140000","18.0"
"1920","1920 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.087435","10.360000","18.0"
"1921","1921 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.104922","14.350000","18.0"
"1922","1922 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.072863","10.560000","18.0"
"1923","1923 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.011658","7.430000","18.0"
"1924","1924 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.093264","27.050000","18.0"
"1925","1925 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.128238","17.720000","19.5"
"1926","1926 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.107837","18.580000","19.5"
"1927","1927 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.134067","21.860000","19.5"
"1928","1928 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.142811","22.160000","19.5"
"1929","1929 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.209845","23.830000","19.5"
"1930","1930 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.192358","27.800000","19.5"
"1931","1931 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.080149","8.890000","19.5"
"1932","1932 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.291451","30.480000","19.5"
"1933","1933 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.125324","11.760000","19.5"
"1934","1934 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.110751","21.700000","19.5"
"1935","1935 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.011658","3.376667","5.0"
"1936","1936 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Philoscia","0.058290","11.460000","15.8"
"1937","1937 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Philoscia","0.037889","6.090000","15.8"
"1938","1938 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.008327","1.404286","15.8"
"1939","1939 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.025259","6.256667","15.8"
"1940","1940 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.011658","2.168571","15.8"
"1941","1941 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.055376","24.020000","9.2"
"1942","1942 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.020402","53.200000","10.2"
"1943","1943 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.029145","63.400000","10.2"
"1944","1944 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.078692","62.920000","10.2"
"1945","1945 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.084521","68.300000","10.2"
"1946","1946 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.023316","74.260000","10.2"
"1947","1947 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.136982","65.140000","10.2"
"1948","1948 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.023316","104.790000","10.2"
"1949","1949 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.061205","22.440000","10.2"
"1950","1950 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium vulgare","0.037889","24.850000","10.2"
"1951","1951 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.023316","18.750000","10.2"
"1952","1952 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.026231","16.370000","10.3"
"1953","1953 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.032060","12.290000","10.3"
"1954","1954 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.014573","8.810000","10.3"
"1955","1955 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.008744","18.050000","10.3"
"1956","1956 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.043718","24.600000","10.3"
"1957","1957 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.052461","21.490000","10.3"
"1958","1958 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.020402","7.990000","10.3"
"1959","1959 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.007286","5.075000","10.3"
"1960","1960 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.066062","5.436667","23.4"
"1961","1961 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.241904","73.720000","23.4"
"1962","1962 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Oniscus asellus","0.209845","45.390000","23.4"
"1963","1963 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.273964","37.770000","23.4"
"1964","1964 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Porcellio scaber","0.230246","69.040000","23.4"
"1965","1965 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.041775","3.596667","23.4"
"1966","1966 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.025398","1.697143","23.4"
"1967","1967 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.109780","5.980000","30.0"
"1968","1968 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.095207","4.126667","30.0"
"1969","1969 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.085492","5.830000","29.9"
"1970","1970 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.104922","5.685000","30.0"
"1971","1971 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.037160","2.455000","30.0"
"1972","1972 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.103465","5.460000","30.0"
"1973","1973 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.040075","2.535000","30.0"
"1974","1974 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.055376","2.632500","30.0"
"1975","1975 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.041532","2.092500","30.0"
"1976","1976 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.069948","5.285000","30.0"
"1977","1977 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.090350","5.960000","30.0"
"1978","1978 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.051490","4.610000","30.0"
"1979","1979 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.056347","3.473333","30.0"
"1980","1980 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.065091","4.416667","30.0"
"1981","1981 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.062176","3.513333","30.0"
"1982","1982 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Armadillidium","0.241904","70.020000","29.9"
"1983","1983 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.032060","3.496667","29.9"
"1984","1984 Arthropoda","Isopoda","Isopoda","Isopoda","this study","this study","Isopoda","0.030602","2.720000","29.9"
"1985","1985 Arthropoda","Prostigmata","Acari","Prostigmata","this study","Thurling 1980","Tetranychus cinnabarinus","0.000066","0.004940","25.0"
"1986","1986 Arthropoda","Prostigmata","Acari","Prostigmata","this study","Thurling 1980","Tetranychus cinnabarinus","0.000251","0.009980","25.0"
"1987","1987 Arthropoda","Mesostigmata","Acari","Mesostigmata","this study","Thurling 1980","Phytoseiulus persimilis","0.000250","0.008590","25.0"
"1988","1988 Arthropoda","Mesostigmata","Acari","Mesostigmata","this study","Thurling 1980","Phytoseiulus persimilis","0.000224","0.013090","25.0"
"1989","1989 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.032060","31.000000","8.0"
"1990","1990 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.011658","31.000000","8.0"
"1991","1991 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.020402","29.000000","8.0"
"1992","1992 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.055376","38.000000","8.0"
"1993","1993 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.032060","30.000000","8.0"
"1994","1994 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.067034","22.000000","8.0"
"1995","1995 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.055376","44.000000","8.0"
"1996","1996 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.046632","36.000000","8.0"
"1997","1997 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.078692","39.000000","8.0"
"1998","1998 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.005829","34.000000","8.0"
"1999","1999 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.110751","57.000000","8.0"
"2000","2000 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.064119","37.000000","8.0"
"2001","2001 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.067034","58.000000","8.0"
"2002","2002 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.055376","19.000000","8.0"
"2003","2003 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.026231","20.000000","8.0"
"2004","2004 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.023316","18.000000","8.0"
"2005","2005 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.061205","23.000000","8.0"
"2006","2006 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.017487","26.000000","8.0"
"2007","2007 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.037889","10.000000","8.0"
"2008","2008 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.040803","8.000000","8.0"
"2009","2009 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.017487","29.000000","8.0"
"2010","2010 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.032060","10.000000","8.0"
"2011","2011 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.017487","29.000000","8.0"
"2012","2012 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.052461","17.000000","8.0"
"2013","2013 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.119495","86.000000","8.0"
"2014","2014 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.090350","85.000000","8.0"
"2015","2015 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.081606","104.000000","8.0"
"2016","2016 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.075777","79.000000","8.0"
"2017","2017 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.087435","77.000000","8.0"
"2018","2018 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.297280","116.000000","8.0"
"2019","2019 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.215674","109.000000","8.0"
"2020","2020 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.154469","114.000000","8.0"
"2021","2021 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.075777","68.000000","8.0"
"2022","2022 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.043718","10.000000","8.0"
"2023","2023 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.046632","11.000000","8.0"
"2024","2024 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.087435","11.000000","8.0"
"2025","2025 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.032060","9.000000","8.0"
"2026","2026 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.029145","8.000000","8.0"
"2027","2027 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.075777","7.000000","8.0"
"2028","2028 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Opiliones","0.020402","3.000000","8.0"
"2029","2029 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.224417","97.700000","11.5"
"2030","2030 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.236075","70.300000","11.5"
"2031","2031 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.282707","178.000000","11.5"
"2032","2032 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa juv.","0.023316","1.800000","11.5"
"2033","2033 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa juv.","0.020402","1.800000","11.5"
"2034","2034 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa juv.","0.043718","1.700000","11.5"
"2035","2035 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.131153","31.700000","11.5"
"2036","2036 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.119495","34.500000","11.5"
"2037","2037 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.151554","34.900000","11.5"
"2038","2038 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.145725","31.900000","11.5"
"2039","2039 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.116580","47.100000","11.5"
"2040","2040 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.136982","40.600000","11.5"
"2041","2041 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.139896","49.500000","11.5"
"2042","2042 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.075777","30.200000","11.5"
"2043","2043 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.034974","27.100000","11.5"
"2044","2044 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.052461","29.100000","11.5"
"2045","2045 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.171956","82.900000","11.5"
"2046","2046 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.291451","122.500000","11.5"
"2047","2047 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.250648","128.100000","11.5"
"2048","2048 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.163213","50.500000","11.5"
"2049","2049 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.233161","93.500000","11.5"
"2050","2050 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.104922","40.100000","11.5"
"2051","2051 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.072863","41.200000","11.5"
"2052","2052 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.163213","51.800000","11.5"
"2053","2053 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.113666","31.200000","11.5"
"2054","2054 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.107837","32.800000","11.5"
"2055","2055 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.087435","27.900000","11.5"
"2056","2056 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.136982","37.100000","11.5"
"2057","2057 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.221503","109.700000","11.5"
"2058","2058 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Trochosa","0.227332","83.900000","11.5"
"2059","2059 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.081606","31.000000","15.0"
"2060","2060 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.087435","31.000000","15.0"
"2061","2061 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.064119","29.000000","15.0"
"2062","2062 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.093264","38.000000","15.0"
"2063","2063 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.078692","30.000000","15.0"
"2064","2064 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.096179","22.000000","15.0"
"2065","2065 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa palustris","0.043718","22.000000","15.0"
"2066","2066 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.078692","57.000000","15.0"
"2067","2067 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.145725","36.000000","15.0"
"2068","2068 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.221503","39.000000","15.0"
"2069","2069 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.183614","34.000000","15.0"
"2070","2070 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.142811","57.000000","15.0"
"2071","2071 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.157383","52.000000","15.0"
"2072","2072 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.104922","28.000000","15.0"
"2073","2073 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.078692","40.000000","15.0"
"2074","2074 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.119495","37.000000","15.0"
"2075","2075 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.139896","42.000000","15.0"
"2076","2076 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.163213","57.000000","15.0"
"2077","2077 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Alopecosa spec","0.099093","58.000000","15.0"
"2078","2078 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.037889","19.000000","15.0"
"2079","2079 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.084521","27.000000","15.0"
"2080","2080 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.049547","20.000000","15.0"
"2081","2081 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.046632","18.000000","15.0"
"2082","2082 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.119495","23.000000","15.0"
"2083","2083 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.043718","21.000000","15.0"
"2084","2084 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pirata latitans","0.061205","26.000000","15.0"
"2085","2085 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.072863","11.000000","15.0"
"2086","2086 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.090350","13.000000","15.0"
"2087","2087 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.081606","10.000000","15.0"
"2088","2088 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.084521","8.000000","15.0"
"2089","2089 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.102008","25.000000","15.0"
"2090","2090 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.087435","12.000000","15.0"
"2091","2091 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.090350","18.000000","15.0"
"2092","2092 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.084521","11.000000","15.0"
"2093","2093 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.081606","29.000000","15.0"
"2094","2094 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.046632","10.000000","15.0"
"2095","2095 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.110751","29.000000","15.0"
"2096","2096 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.142811","10.000000","15.0"
"2097","2097 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.067034","12.000000","15.0"
"2098","2098 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pardosa lugubris","0.078692","17.000000","15.0"
"2099","2099 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.227332","86.000000","15.0"
"2100","2100 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.180700","85.000000","15.0"
"2101","2101 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.180700","104.000000","15.0"
"2102","2102 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.247733","65.000000","15.0"
"2103","2103 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.160298","79.000000","15.0"
"2104","2104 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.192358","77.000000","15.0"
"2105","2105 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.620790","116.000000","15.0"
"2106","2106 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.399288","109.000000","15.0"
"2107","2107 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.445920","114.000000","15.0"
"2108","2108 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Pisaura mirabilis","0.040803","68.000000","15.0"
"2109","2109 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.040803","9.000000","15.0"
"2110","2110 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.069948","11.000000","15.0"
"2111","2111 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.107837","9.000000","15.0"
"2112","2112 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.075777","4.000000","15.0"
"2113","2113 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.072863","8.000000","15.0"
"2114","2114 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.069948","6.000000","15.0"
"2115","2115 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.093264","8.000000","15.0"
"2116","2116 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.081606","7.000000","15.0"
"2117","2117 Arthropoda","Arachnida","Arachnida","Araneae","this study","this study","Salticus scenicus","0.078692","3.000000","15.0"
